encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-47377-48294-282570,649.6,0.0003439596332552306,1438.0,4320.0,2882.0
ENC-56038-68003-402000,650.7,0.0003430323784268781,1438.0,4320.0,2882.0
ENC-53916-60373-279690,650.9,0.0003428649882628989,1438.0,4320.0,2882.0
ENC-64914-65701-280680,654.5,0.0003396417303346014,1436.0,4320.0,2884.0
ENC-57650-59889-525690,671.4,0.00032474950502269775,1428.0,4320.0,2892.0
ENC-57051-58446-489870,672.0,0.0003242411758378081,1427.0,4320.0,2893.0
ENC-57226-67617-489450,672.3,0.00032394398326974003,1427.0,4320.0,2893.0
ENC-68385-68392-386640,676.0,0.0003207091918129791,1425.0,4320.0,2895.0
ENC-64458-69511-573960,681.4,0.00031610668603886664,1423.0,4320.0,2897.0
ENC-59312-59637-369780,681.7,0.0003157969594382146,1422.0,4320.0,2898.0
ENC-67664-69349-472890,682.1,0.0003154732994284793,1422.0,4320.0,2898.0
ENC-48597-52580-502350,683.4,0.0003143514839078114,1422.0,4320.0,2898.0
ENC-69509-69534-552030,683.6,0.00031414727795788655,1421.0,4320.0,2899.0
ENC-57249-62478-573450,684.0,0.00031386452819857615,1421.0,4320.0,2899.0
ENC-66520-66527-316800,690.3,0.00030844806056549675,1418.0,4320.0,2902.0
ENC-52380-61261-261780,696.8,0.0003029440375685762,1415.0,4320.0,2905.0
ENC-62286-66323-597300,698.1,0.0003018071982371695,1414.0,4320.0,2906.0
ENC-68142-68161-564990,698.4,0.000301626514567946,1414.0,4320.0,2906.0
ENC-59877-62100-419640,698.9,0.0003012155622967975,1413.0,4320.0,2907.0
ENC-60022-60035-599340,700.4,0.0002999004915102474,1413.0,4320.0,2907.0
ENC-51135-68276-476070,710.3,0.00029161328167879783,1407.0,4320.0,2913.0
ENC-59326-67445-454080,711.6,0.0002905362891673967,1407.0,4320.0,2913.0
ENC-66926-68551-576390,711.9,0.0002903137721529486,1406.0,4320.0,2914.0
ENC-58363-59492-370320,713.8,0.00028873931733897166,1405.0,4320.0,2915.0
ENC-55355-57902-536190,717.8,0.000285489931878365,1403.0,4320.0,2917.0
ENC-65248-69339-345600,720.5,0.0002832824508282575,1402.0,4320.0,2918.0
ENC-56400-64251-267750,727.7,0.0002773816162212989,1398.0,4320.0,2922.0
ENC-66399-69160-401430,729.3,0.0002761235594988719,1397.0,4320.0,2923.0
ENC-49424-51129-269310,733.4,0.0002728588283796325,1394.0,4320.0,2926.0
